cod_municipio;y_proporcao_esgoto;x1_alfabetizacao;x2_densidade;x3_agua;x4_lixo;x5_metropolitana
3500105;0,970404181697710;0,9670;84,19;0,970183317382022;0,986380033865862;0
3500204;0,929696969696970;0,9322;20,62;0,884242424242424;0,980606060606061;0
3500303;0,932229965156794;0,9509;67,58;0,933623693379791;0,949738675958188;0
3500402;0,883745583038869;0,9712;51,65;0,898586572438163;0,984805653710247;0
3500501;0,927636417120165;0,9643;298,21;0,941020738343874;0,992940138255626;0
3500550;0,602583025830258;0,9564;17,74;0,873800738007380;0,969372693726937;0
3500600;0,996530789245447;0,9876;769,66;1,000000000000000;1,000000000000000;0
3500709;0,942795299938157;0,9634;38,98;0,950989486703772;0,979205318491033;0
3500758;0,527349228611501;0,9540;38,48;0,817204301075269;0,971014492753623;0
3500808;0,849362688296640;0,9464;37,38;0,880069524913094;0,944380069524913;0
3500907;0,870109546165884;0,9284;11,03;0,839593114241002;0,916275430359937;0
3501004;0,910496873971701;0,9503;18,10;0,912635735439289;0,957222770648240;0
3501103;0,829380764163373;0,9427;12,06;0,816205533596838;0,930830039525692;0
3501152;0,740410497981157;0,9629;206,90;0,909656796769852;0,999158815612382;0
3501202;0,688845401174168;0,9355;10,80;0,689497716894977;0,829093281148076;0
3501301;0,894720843043875;0,9579;78,40;0,904144290201642;0,958354443205999;0
3501400;0,933219178082192;0,9052;31,29;0,918664383561644;0,961472602739726;0
3501509;0,939424031777557;0,9271;33,99;0,932472691161867;0,993048659384310;0
3501608;0,982915755843282;0,9837;1771,61;0,957110027464828;0,999237710890645;0
3501707;0,992463412496714;0,9457;268,54;0,993339759880817;0,998247305231794;0
3501806;0,891571368064380;0,9545;23,21;0,891571368064380;0,930537907666243;0
3501905;0,859581070597362;0,9683;152,72;0,898248336123474;0,989302192642195;0
3502002;0,836807623585468;0,9564;14,08;0,852293031566409;0,942227516378797;0
3502101;0,936470266076400;0,9629;62,00;0,953721874857378;0,964173246314637;0
3502200;0,700576945720005;0,9590;23,38;0,834216413517014;0,920640527493230;0
3502309;0,812560856864654;0,9438;7,70;0,788218111002921;0,974683544303797;0
3502408;0,860229574611749;0,9463;12,54;0,853477380148548;0,929101958136394;0
3502507;0,963657162970785;0,9708;269,41;0,985304470256952;0,985656458993312;0
3502606;0,837871287128713;0,9194;22,83;0,837871287128713;0,936881188118812;0
3502705;0,587168442530039;0,9407;25,23;0,806393108138744;0,925527091362503;0
3502754;0,607784835788620;0,9515;148,22;0,790512231382619;0,955129071496148;0
3502804;0,974040167665287;0,9743;171,47;0,973050119577237;0,993776840589400;0
3502903;0,375615554423501;0,9714;127,08;0,848446255731024;0,992188826625913;0
3503000;0,943556443556444;0,9505;26,72;0,936563436563437;0,982017982017982;0
3503109;0,781787662610155;0,9431;24,08;0,778850188837600;0,975660931598825;0
3503158;0,725423728813559;0,9372;14,85;0,803389830508475;0,967231638418079;0
3503208;0,987309754410239;0,9766;241,35;0,985526202006226;0,995870805949498;0
3503307;0,971317797140118;0,9690;202,95;0,963542752324176;0,994830533205486;0
3503356;0,991814461118690;0,9248;7,72;0,750341064120055;0,822646657571623;0
3503406;0,724910685287431;0,9626;16,06;0,770379993504385;0,933419941539461;0
3503505;0,709991876523152;0,9482;11,72;0,787164906580016;0,952883834281072;0
3503604;0,946764705882353;0,9371;117,92;0,948529411764706;0,985294117647059;0
3503703;0,968684759916493;0,9433;57,32;0,963813500347947;0,988169798190675;0
3503802;0,889752066115702;0,9542;289,04;0,886556473829201;0,990027548209366;0
3503901;0,812491481531961;0,9654;901,33;0,948889191767752;0,995059288537549;1
3503950;0,829160530191458;0,9067;26,55;0,796759941089838;0,880706921944035;0
3504008;0,962343754094494;0,9746;220,16;0,969445245145568;0,988967794345012;0
3504107;0,609302572449666;0,9665;331,54;0,762588018824529;0,993400799688617;0
3504206;0,911922862970517;0,9492;31,51;0,912849990728722;0,966067124049694;0
3504305;0,690721649484536;0,9386;8,29;0,787750151607035;0,930260764099454;0
3504404;0,971178298954507;0,9395;33,29;0,964396722237920;0,967222379203165;0
3504503;0,939213812055678;0,9698;76,51;0,941513829977896;0,983421948742458;0
3504602;0,955211889937739;0,9756;246,98;0,953906406909018;0,989355292227355;0
3504701;0,922509225092251;0,9452;42,42;0,918819188191882;0,953874538745387;0
3504800;0,947411003236246;0,9634;64,02;0,929072276159655;0,978155339805825;0
3504909;0,815094339622642;0,9471;16,17;0,821024258760108;0,962803234501348;0
3505005;0,748502994011976;0,9421;23,06;0,755239520958084;0,993263473053892;0
3505104;0,919905213270142;0,9255;27,48;0,918957345971564;0,935545023696682;0
3505203;0,964507617669589;0,9616;71,10;0,962975572389140;0,980508979487616;0
3505302;0,984411354118194;0,9616;228,79;0,985574685900419;0,993175120210951;0
3505351;0,371002132196162;0,9119;12,77;0,513326226012793;0,858742004264392;0
3505401;0,403883495145631;0,8787;6,82;0,460970873786408;0,899029126213592;0
3505500;0,978862596079109;0,9767;78,21;0,971219449002505;0,983914845841610;0
3505609;0,981689889246159;0,9374;219,77;0,984905323329761;0,997499106823866;0
3505708;0,976429746025946;0,9740;4816,87;0,996446190389183;0,999744198794080;1
3505807;0,862014063951174;0,9584;125,81;0,850205652116227;0,927159347220380;0
3505906;0,971759324090930;0,9635;68,75;0,971992718106708;0,982588806423003;0
3506003;0,970714045974877;0,9795;567,85;0,959688073525526;0,994108531560418;0
3506102;0,970569349315068;0,9736;111,79;0,965503710045662;0,983625856164384;0
3506201;0,931108719052745;0,9420;8,64;0,930032292787944;0,958019375672766;0
3506300;0,918125643666323;0,9667;47,54;0,919155509783728;0,972966014418126;0
3506359;0,722148891235480;0,9648;130,58;0,931054206265399;0,994280183034143;0
3506409;0,944245889921372;0,9586;46,32;0,931022158684775;0,969263759828449;0
3506508;0,978200493740081;0,9674;224,48;0,965019396931758;0,990323576088873;0
3506607;0,631372173246455;0,9408;93,52;0,673054810272135;0,956017631276351;1
3506706;0,945864661654135;0,9262;18,79;0,945220193340494;0,971643394199785;0
3506805;0,940181417013974;0,9509;30,94;0,945329737680804;0,979406717332680;0
3506904;0,647969543147208;0,9429;16,01;0,705837563451777;0,982741116751269;0
3507001;0,843961508356738;0,9707;245,35;0,913393802661264;0,997928081403380;0
3507100;0,813592233009709;0,9569;203,07;0,862265372168285;0,993139158576052;0
3507159;0,683404255319149;0,9421;26,61;0,714893617021277;0,984680851063830;0
3507209;0,847826086956522;0,9436;7,62;0,829192546583851;0,913043478260870;0
3507308;0,943730886850153;0,9510;38,61;0,928440366972477;0,970642201834862;0
3507407;0,925405799744665;0,9430;25,76;0,922670071128944;0,947838774393580;0
3507456;0,880952380952381;0,9656;7,80;0,887163561076605;0,953416149068323;0
3507506;0,957041011318536;0,9749;97,90;0,972126267823019;0,994028369836837;0
3507605;0,847424500346763;0,9729;344,94;0,888531618435155;0,997257423869869;0
3507704;0,910432569974555;0,9222;27,44;0,911959287531807;0,944529262086514;0
3507753;0,804573804573805;0,9373;24,27;0,863825363825364;0,977130977130977;0
3507803;0,974884559071968;0,9683;90,50;0,972857303750422;0,988850095731501;0
3507902;0,927991651205937;0,9688;21,70;0,928339517625232;0,978084415584416;0
3508009;0,793029259896730;0,9390;16,92;0,831468732071142;0,915519219736087;0
3508108;0,855691664176875;0,9457;52,64;0,922916044218703;0,971466985360024;0
3508207;0,873570138470801;0,9490;16,35;0,854906682721252;0,947019867549669;0
3508306;0,826549780839073;0,9383;17,91;0,827802128991860;0,880400751408892;0
3508405;0,842379421221865;0,9633;180,65;0,880900321543408;0,994983922829582;0
3508504;0,870721416686475;0,9712;260,72;0,957838126931305;0,995038031851676;0
3508603;0,889225126088950;0,9656;109,60;0,936176066024759;0,988995873452545;0
3508702;0,694784288473921;0,9508;36,52;0,700096587250483;0,928364455891822;0
3508801;0,925564270850008;0,9427;18,10;0,920601888906675;0,948295181687210;0
3508900;0,804362644853442;0,9284;14,65;0,850715746421268;0,906612133605999;0
